,text,sentiment,comment_clean
0,Giao thiếu 1 bộ móng :)),1,giao 1 móng
1,"Hàng chất siêu đẹp
Giao hàng nhanh",1,hàng chất siêu đẹp giao hàng nhanh
2,siêu dở đồng ý kiến với 1 bạn khác ko ăn được làm mình mua 1 lúc 2 hộp lúc sale cuối cùng ko ăn được rất mềm ko giòn dai mùi vị thì không phải mùi đào mà khó chịu Lắm cân nhắc khi mua.,0,siêu dở đồng_ý_kiến 1 không ăn được mua 1 2 hộp sale không ăn được mềm không giòn dai mùi_vị không phải mùi đào khó_chịu lắm cân_nhắc mua
3,Son chuẩn  giá rẻ  ship hàng đúng nhanh mới đặt hôm qa hôm nsy có rồi hjhj 5 sao cho shop nhé :) ,1,son chuẩn giá rẻ ship hàng đúng nhanh đặt hôm hôm nsy rồi hi_hi 5 cho shop
4,Ăn cảm giác như mực để lâukhô cứng và dai,0,ăn cảm_giác như mực lâukhô cứng dai
5,"Theo tôi , một năm mà Hà Nội mới điều tra phát hiện 25 vụ có dấu hiệu tham nhũng thì có thể do hai yếu tố sau : < BR > 1 - Công chức bây giờ quá trong sạch , nên ở một thủ đô với vô vàn lĩnh vực như vậy mà chỉ có 25 vụ có dấu hiệu tham nhũng . 2 - Theo tôi nên điều tra cơ quan có chức năng chống tham nhũng xem họ quá kém về năng lực , hay có nguyên nhân khác .",1,một hà_nội điều_tra phát_hiện 25 vụ dấu_hiệu tham_nhũng hai yếu_tố anh_em 1 công_chức trong_sạch nên một thủ_đô lĩnh_vực chỉ 25 vụ dấu_hiệu tham_nhũng 2 nên điều_tra cơ_quan_chức_năng chống tham_nhũng kém về năng_lực nguyên_nhân
6,Giày khá đẹp giao hàng nhanh,1,giày đẹp giao hàng nhanh
7,Made in china nhìn dại không đẹp,0,made in china dại không đẹp
8,"Mình không đánh giá cao về cốt truyện cũng như cách mà tác giả xây dựng tuyến nhân vât. Tất cả đều mờ nhạt đơn điệu thiếu sức hấp dẫn như đang ngồi trên con tàu cao tốc phong cảnh và con người cứ vụt qua cái gì cũng thấy nhưng chẳng đọng lại nhiều. Cũng có một số đoạn cuốn hút đó là những đoạn bàn về văn hóa Việt và tính cách người Việt, tuy nhiên nó cũng không phải  là điều mới mẻ gì.
Bối cảnh diễn ra tại Châu Âu nhưng nhân vật nam chính lại mang hơi hướng của các oppa Hàn Quốc. Nếu đọc tác phẩm này từ thời sinh viên có lẽ mình sẽ cảm thấy hứng thú hơn 1 chút.",0,không về cốt_truyện như tác_giả xây_dựng tuyến nhân vât mờ_nhạt đơn_điệu sức hấp_dẫn như trên tàu cao_tốc phong_cảnh con_người thấy chẳng đọng nhiều đoạn cuốn_hút đoạn bàn về văn_hóa việt việt không phải mới_mẻ bối_cảnh diễn châu âu nhân_vật nam chính mang hơi_hướng yêu hàn_quốc đọc tác_phẩm thời sinh_viên có_lẽ hứng_thú hơn 1 chút
9,Cái shop này kỳ ghê đợt đầu giao hàng thì loại còn được đợt sau giao loại dở ẹc thế sao bán nữa dc. Làm ăn gia dối quá ,0,shop kỳ ghê đợt đầu giao hàng được đợt giao dở_ẹc bán được làm_ăn gia dối
10,Trị mụn tốt  mình đắp mỗi ngày và da cx ít tiết dầu thừa hơn  da mặt mịn màng hón,1,trị mụn tốt đắp da ít tiết dầu thừa hơn da mặt mịn_màng hón
11, Chất lượng sản phẩm kém Không đáng tiền Thời gian giao hàng chậm,0,chất_lượng sản_phẩm kém không tiền giao hàng chậm
12,Ta Chất lượng sản phẩm rất kém  bi nát như hột cát zậy đó ,0,ta chất_lượng sản_phẩm kém bi nát như hột cát
13,Cái tên: “Ăn nằm với cô đơn” rất hay bìa sách màu tím và màu xanh dương khá ổn cho ta cảm giác một nỗi buồn mang mác rồi nhưng nội dung thì hơi lang mang giọng văn - như tác giả tự nhận xét về mình “tôi tự nhận thấy mình viết còn dở nếu không muốn nói là tệ”. Mua sách cảm thấy mình như rơi vào cái bẫy của đa số sách mới hiện nay cái tên thì rất kêu rất hay nhưng nội dung chẳng có gì đọc cảm thấy rất buồn và mất mất một chút niềm tin vào sách. Mong rằng sẽ có nhiều tác phẩm khác hay hơn của tác giả.,0,ăn_nằm cô_đơn bìa sách màu tím màu xanh dương ổn cho ta cảm_giác một nổi buồn mang mác rồi nội_dung hơi lang mang giọng văn như tác_giả nhận_xét về thấy viết dở không tệ mua sách như rơi bẫy đa_số sách kêu nội_dung chẳng đọc buồn một_chút niềm sách mong nhiều tác_phẩm hơn tác_giả
14,Chất lượng sản phẩm rất kém. Hàng nhái lại hàng auth . Lem tùm lum mỗi lần lấy ra kẻ là mực lem ra tay,0,chất_lượng sản_phẩm kém hàng nhái hàng lem tùm_lum lần kẻ mực lem
15,Chất lượng sản phẩm kém pin sài rất kém. mắt đọc có phần không ổn định ở sản phẩm này . chế độ bảo hành sản phẩm không rõ ràng.,0,chất_lượng sản_phẩm kém pin xài kém mắt đọc phần không ổn_định sản_phẩm chế_độ bảo_hành sản_phẩm không rõ_ràng
16,Hàng giao nhanh. Mình đặt hàng ngày 23 thì ngày 25 đã nhận được hàng. Hàng được bọc nilon chống sốc rất dày và cẩn thận. Mình mua lúc flash sale 3 gói được tặng thêm 1 gói loại không mùi 100 tờ với giá 99k so với giá bán lẻ ngoài siêu thị khoảng 40k thì tiết kiệm rất nhiều.,1,hàng giao nhanh đặt_hàng 23 25 được hàng hàng được bọc nilon chống sốc dày cẩn_thận mua flash sale 3 gói được tặng thêm 1 gói không mùi 100 tờ giá 99 k giá bán_lẻ siêu_thị 40 k tiết_kiệm nhiều
17,Shop phục vụ kémNhân viên giao hàng ko cho kiểm tra máy,0,shop phục_vụ kémnhân viên giao hàng không cho kiểm_tra máy
18,Shop bán đồ đểu được cái mã! m nhận đồng hồ hôm 12.11 và do m đi làm lu bu đến ngày 17.11 m đem đồng hồ đi để cắt mắt đeo cho vừa tay mới biết kim đồng hồ không chạy m thay pin vẫn ko chạy hỏi thợ sửa bảo hư máy ở trong thay 120k m đã nhắn tin shop ko trả lời gọi sdt bảo hành ko liên lạc,0,shop bán đồ đểu được mã mày đồng_hồ hôm 12 11 mày đi lu_bu 17 11 mày đem đồng_hồ đi cắt mắt đeo cho biết kim_đồng_hồ không chạy mày thay pin không chạy thợ sửa bảo hư máy thay 120 k mày nhắn_tin shop không trả_lời gọi điện_thoại bảo_hành không liên_lạc
19,"Hàng rất ok 
Y như hình 
Giao hàng siu nhanh lun",1,hàng được y_như hình giao hàng siêu nhanh
20,Bán hàng lừa dối,0,bán hàng lừa_dối
21,Dép đẹp vừa khít chân nhưng nhiều mùi cao su quá ạaaa,1,dép đẹp khít chân nhiều mùi cao_su ạaaa
22," Đóng gói sản phẩm rất đẹp và chắc chắn
dùng hết sẽ ủng hộ shop dài dài",1,đóng_gói sản_phẩm đẹp dùng hết ủng_hộ shop
23,Mình hơi thất vọng khi cuốn sách được giao bị trầy xước ở ngoài bìa bìa k đc bao lại và trông k đc mới,0,hơi thất_vọng sách được giao trầy_xước bìa bìa không được bao trông không được
24,kích thước bi quá nhỏ nhỏ hơn trong hình nhiều nhưng 3mm chắc đúng tại mình ko đọc kĩ,0,kích_thước bi nhỏ nhỏ hơn hình nhiều 3 mm đúng không đọc kĩ
25,"Chất lượng sản phẩm tuyệt vời
 Shop phục vụ rất tốt
 Rất đáng tiền
 Đóng gói sản phẩm rất đẹp và chắc chắn
chủ shop nhiệt tình - dễ thương. sản phẩm y như hình",1,chất_lượng sản_phẩm tuyệt_vời shop phục_vụ tốt tiền đóng_gói sản_phẩm đẹp chủ shop nhiệt_tình dễ_thương sản_phẩm y_như hình
26,Áo mặc đẹp nhưng hơi ngắn xíu.,1,áo mặc đẹp hơi ngắn xíu
27,Đặt rất nhiều loại mặt hàng cùng lúc nhưng shop giao hàng đủ đúng nhanh làm việc rất uy tín.chất luọng sản phẩm tốt .cảm ơn shop,1,đặt nhiều mặt_hàng shop giao hàng đủ đúng nhanh làm_việc uy_tín chất luọng sản_phẩm tốt shop
28,1 gói bị thủng 1 lỗ làm nước mặt nạ toè loe ra gói hàng hic hic Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời,1,1 gói thủng 1 lỗ mặt ạ tòe loe gói hàng hic hic đóng_gói sản_phẩm đẹp chất_lượng sản_phẩm tuyệt_vời
29,"""Quay xong chịu khó chép ra ngoài, để trong máy làm chi, mất máy là mất tất cả. 16GB quay nghiệp dư clip ngắn ngắn cũng cả trăm clip, hình thì cũng vài ngàn ảnh chứ đâu có ít gì. Chứa quá nhiều, mỗi lần tìm lại là cả một vấn đề!""",0,xong chịu_khó chép máy chi máy 16 gb quay nghiệp_dư video ngắn ngắn trăm video hình ngàn ảnh chứa nhiều lần một
30,Máy MP3 nghe xong xạc pin không vô. Còn cục xạc thì quá mau hết pin khi xã pin lần đầu ,0,máy mp3 xong xạc pin không vô cục xạc mau hết pin xã pin lần đầu
31,mở gói ra đã thấy vết cắt ... 👎 chất lượng thì...,0,gói thấy vết cắt chất_lượng
32,Hàng y hình giao hàng nhanh hơn dự kiến. ,1,hàng y hình giao hàng nhanh hơn dự_kiến
33,Mua shopee rất nhiều nhưng chưa thấy shop nào gói hàng kỹ nv chất lượng sp tuyệt vời son đánh lên màu đẹp mà mịn môi ưng kinh khủng luoin ý,1,mua shopee nhiều thấy shop gói hàng kỹ nv chất_lượng sản_phẩm tuyệt_vời son đánh màu đẹp mịn môi ưng kinh_khủng luoin ý
34,Ngũ cốc ik mà khó uống muốn chết,1,ngũ_cốc ik uống chết
